,district_name,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil,county,year
96,BRANSON REORGANIZED 82,2136497,1270103,9720,0,3416320, 4896 , 2910 , 22 , 0 , 7828 ,LAS ANIMAS,2010
97,KIM REORGANIZED 88,604028,541883,0,0,1145911, 10597 , 9507 , 0 , 0 , 20104 ,LAS ANIMAS,2010
98,GENOA-HUGO C-113,1273861,1059313,5173,123401,2461748, 7458 , 6202 , 30 , 722 , 14413 ,LINCOLN,2010
99,LIMON RE-4J,2579260,1632118,282,638962,4850622, 5583 , 3533 , 1 , 1383 , 10499 ,LINCOLN,2010
100,KARVAL RE-23,1049533,841421,0,45804,1936758, 4503 , 3610 , 0 , 196 , 8309 ,LINCOLN,2010
101,VALLEY RE-1,11831259,8373078,79958,1941903,22226197, 5063 , 3583 , 34 , 831 , 9511 ,LOGAN,2010
102,FRENCHMAN RE-3,1517818,1005411,0,196874,2720103, 8078 , 5351 , 0 , 1048 , 14476 ,LOGAN,2010
103,BUFFALO RE-4,1815186,1346914,0,161114,3323214, 5880 , 4363 , 0 , 522 , 10765 ,LOGAN,2010
104,PLATEAU RE-5,1383907,1124767,0,94563,2603237, 8590 , 6982 , 0 , 587 , 16159 ,LOGAN,2010
105,DE BEQUE 49JT,1055154,765557,0,268824,2089535, 7674 , 5568 , 0 , 1955 , 15197 ,MESA,2010
106,PLATEAU VALLEY 50,2377474,1544894,0,417381,4339749, 5125 , 3330 , 0 , 900 , 9355 ,MESA,2010
107,MESA COUNTY VALLEY 51,110888342,68180574,335939,30507658,209912512, 5274 , 3243 , 16 , 1451 , 9984 ,MESA,2010
108,CREEDE CONSOLIDATED 1,1098261,683583,0,31108,1812953, 10381 , 6461 , 0 , 294 , 17136 ,MINERAL,2010
109,MOFFAT COUNTY RE:NO 1,13807210,8544652,0,3057069,25408930, 6090 , 3769 , 0 , 1348 , 11207 ,MOFFAT,2010
110,MONTEZUMA-CORTEZ RE-1,14244343,12057921,500,248679,26551443, 4957 , 4196 , 0 , 87 , 9240 ,MONTEZUMA,2010
