,district_name,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil,year
122,FOWLER R-4J,OTERO,2467599,1400093,0,265983,4133675,5927.0,3363.0,0.0,639.0,9930.0,2010
123,CHERAW 31,OTERO,1385061,920084,46726,297531,2649402,6905.0,4587.0,233.0,1483.0,13207.0,2010
124,SWINK 33,OTERO,2202269,1541879,0,1203084,4947231,6012.0,4209.0,0.0,3284.0,13506.0,2010
125,OURAY R-1,OURAY,2004020,1101635,0,251333,3356987,8675.0,4769.0,0.0,1088.0,14532.0,2010
126,RIDGWAY R-2,OURAY,2336416,1896742,4000,1178450,5415607,6974.0,5662.0,12.0,3518.0,16166.0,2010
127,PLATTE CANYON 1,PARK,5964977,4893780,139138,990349,11988244,5130.0,4209.0,120.0,852.0,10311.0,2010
128,PARK COUNTY RE-2,PARK,4077427,2859773,7079,8538280,15482560,7617.0,5342.0,13.0,15950.0,28923.0,2010
129,HOLYOKE RE-1J,PHILLIPS,3657401,1885286,0,213843,5756531,6328.0,3262.0,0.0,370.0,9959.0,2010
130,HAXTUN RE-2J,PHILLIPS,2009137,1028345,0,45812,3083294,6878.0,3521.0,0.0,157.0,10556.0,2010
131,ASPEN 1,PITKIN,16237683,6969094,0,9404104,32610880,9849.0,4227.0,0.0,5704.0,19780.0,2010
132,GRANADA RE-1,PROWERS,1624147,1015182,0,698,2640027,6992.0,4370.0,0.0,3.0,11365.0,2010
133,LAMAR RE-2,PROWERS,8864198,4528125,92651,4393604,17878577,5605.0,2863.0,59.0,2778.0,11306.0,2010
134,HOLLY RE-3,PROWERS,1667088,1069183,34070,860861,3631202,6010.0,3854.0,123.0,3103.0,13090.0,2010
135,WILEY RE-13 JT,PROWERS,1479268,957908,0,112259,2549435,6187.0,4006.0,0.0,470.0,10663.0,2010
136,PUEBLO CITY 60,PUEBLO,86439205,69526324,337221,9533741,165836492,5024.0,4041.0,20.0,554.0,9639.0,2010
137,PUEBLO COUNTY RURAL 70,PUEBLO,36460764,30004548,275,30430981,96896568,4284.0,3525.0,0.0,3576.0,11385.0,2010
138,MEEKER RE1,RIO BLANCO,3967881,2309039,0,4396641,10673562,6215.0,3617.0,0.0,6887.0,16719.0,2010
139,RANGELY RE-4,RIO BLANCO,2677607,2222903,11921,2592929,7505359,5895.0,4894.0,26.0,5709.0,16524.0,2010
140,DEL NORTE C-7,RIO GRANDE,2900869,2686653,0,521534,6109055,4931.0,4567.0,0.0,887.0,10384.0,2010
141,MONTE VISTA C-8,RIO GRANDE,5343731,3994716,0,5714108,15052555,4709.0,3520.0,0.0,5035.0,13263.0,2010
142,SARGENT RE-33J,RIO GRANDE,2478134,1830180,0,546216,4854530,5193.0,3835.0,0.0,1145.0,10173.0,2010
143,HAYDEN RE-1,ROUTT,3217576,1934030,0,69938,5221544,7906.0,4752.0,0.0,172.0,12829.0,2010
144,STEAMBOAT SPRINGS RE-2,ROUTT,13026653,8434568,314,5078465,26540000,5974.0,3868.0,0.0,2329.0,12172.0,2010
145,SOUTH ROUTT RE 3,ROUTT,2778813,2031707,0,892380,5702900,7143.0,5223.0,0.0,2294.0,14660.0,2010
146,MOUNTAIN VALLEY RE 1,SAGUACHE,1193134,857468,0,0,2050602,9984.0,7175.0,0.0,0.0,17160.0,2010
147,MOFFAT 2,SAGUACHE,1520156,1613297,0,1089208,4222662,7537.0,7998.0,0.0,5400.0,20935.0,2010
148,CENTER 26 JT,SAGUACHE,3834029,3348584,215446,3093428,10491487,6748.0,5893.0,379.0,5444.0,18464.0,2010
149,SILVERTON 1,SAN JUAN,702843,419046,0,4765361,5887250,10665.0,6359.0,0.0,72312.0,89336.0,2010
150,TELLURIDE R-1,SAN MIGUEL,5146839,3340212,321088,2573616,11381755,7588.0,4924.0,473.0,3794.0,16780.0,2010
