district_name,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil
BRIGGSDALE RE-10,WELD,"1,085,212","889,087",0,"430,233","2,404,531"," 7,464 "," 6,115 ", 0 ," 2,959 "," 16,537 "
PRAIRIE RE-11,WELD,"1,219,619","979,228",0,0,"2,198,847"," 7,365 "," 5,913 ", 0 , 0 ," 13,278 "
PAWNEE RE-12,WELD,"1,041,659","740,004",0,"61,474","1,843,137"," 10,673 "," 7,582 ", 0 , 630 ," 18,885 "
YUMA 1,YUMA,"4,431,710","3,277,849",0,"1,358,007","9,067,566"," 5,596 "," 4,139 ", 0 ," 1,715 "," 11,450 "
WRAY RD-2,YUMA,"3,532,489","2,746,335",0,"800,124","7,078,947"," 5,378 "," 4,181 ", 0 ," 1,218 "," 10,776 "
IDALIA RJ-3,YUMA,"1,154,510","810,850",0,"25,002","1,990,362"," 8,539 "," 5,997 ", 0 , 185 ," 14,722 "
LIBERTY J-4,YUMA,"926,415","647,462",0,"25,386","1,599,262"," 11,068 "," 7,736 ", 0 , 303 ," 19,107 "
"798,599.5 ",BOCES TOTALS,"47,450,071","44,948,917","578,669","1,229,151","94,206,809"," 5,479 "," 3,785 ", 53 ," 2,747 "," 12,063 "
"798,599.5 ",BOCES TOTALS,"47,450,071","44,948,917","578,669","1,229,151","94,206,809"," 5,538 "," 3,841 ", 54 ," 2,748 "," 12,181 "
"798,599.5 ",BOCES TOTALS," 4,422,714,161 "," 3,067,303,089 "," 42,807,954 "," 2,194,922,404 "," 9,727,747,609 "," 5,479 "," 3,785 ", 53 ," 2,747 "," 12,063 "
"798,599.5 ",BOCES TOTALS," 4,422,714,161 "," 3,067,303,089 "," 42,807,954 "," 2,194,922,404 "," 9,727,747,609 "," 5,538 "," 3,841 ", 54 ," 2,748 "," 12,181 "
"798,599.5 ",STATE TOTALS,"47,450,071","44,948,917","578,669","1,229,151","94,206,809"," 5,479 "," 3,785 ", 53 ," 2,747 "," 12,063 "
"798,599.5 ",STATE TOTALS,"47,450,071","44,948,917","578,669","1,229,151","94,206,809"," 5,538 "," 3,841 ", 54 ," 2,748 "," 12,181 "
"798,599.5 ",STATE TOTALS," 4,422,714,161 "," 3,067,303,089 "," 42,807,954 "," 2,194,922,404 "," 9,727,747,609 "," 5,479 "," 3,785 ", 53 ," 2,747 "," 12,063 "
"798,599.5 ",STATE TOTALS," 4,422,714,161 "," 3,067,303,089 "," 42,807,954 "," 2,194,922,404 "," 9,727,747,609 "," 5,538 "," 3,841 ", 54 ," 2,748 "," 12,181 "
