district_name,est_child_poverty,est_total_child,est_total_pop,year,child_pov_ratio,child_adult_ratio
Montezuma-Cortez School District RE-1,821,3214,18506,2011,0.25544492843808336,0.17367340322057712
Cotopaxi School District RE-3,49,289,2766,2011,0.1695501730103806,0.10448300795372378
Creede Consolidated School District 1,13,77,708,2011,0.16883116883116883,0.10875706214689265
Cripple Creek-Victor School District RE-1,85,569,4805,2011,0.14938488576449913,0.11841831425598336
Crowley County School District RE-1-J,188,524,5559,2011,0.35877862595419846,0.09426155783414283
De Beque School District 49-JT,24,147,923,2011,0.16326530612244897,0.15926327193932827
Deer Trail School District 26J,20,193,916,2011,0.10362694300518134,0.21069868995633187
Del Norte School District C-7,169,671,4123,2011,0.2518628912071535,0.16274557361144798
Delta County School District 50J,1061,5001,30829,2011,0.21215756848630274,0.1622173927146518
Denver County School District 1,21750,88725,619968,2011,0.2451394759087067,0.14311222514710437
Dolores School District RE-4A,100,529,3722,2011,0.1890359168241966,0.14212788823213326
Dolores County School District RE-2,52,337,2174,2011,0.1543026706231454,0.15501379944802207
Douglas County School District RE-1,2678,66570,294436,2011,0.0402283310800661,0.22609327663736772
Durango School District 9-R,732,5116,38417,2011,0.14308053166536355,0.13317021110445895
Eads School District RE-1,21,168,1131,2011,0.125,0.14854111405835543
Eagle County School District RE 50,1076,7341,43765,2011,0.14657403623484538,0.16773677596252715
Eaton School District RE-2,277,2117,9870,2011,0.13084553613604158,0.21448834853090173
Edison School District 54-JT,22,79,331,2011,0.27848101265822783,0.23867069486404835
Elbert School District 200,31,328,1560,2011,0.09451219512195122,0.21025641025641026
Elizabeth School District C-1,274,2816,14302,2011,0.09730113636363637,0.1968955390854426
Ellicott School District 22,174,957,4425,2011,0.18181818181818182,0.21627118644067797
Englewood School District 1,584,2921,25640,2011,0.1999315302978432,0.1139235569422777
Park School District R-3,100,1312,11717,2011,0.07621951219512195,0.1119740547921823
Park County School District RE-2,166,781,6912,2011,0.21254801536491677,0.11299189814814815
Falcon School District 49,1565,16695,75238,2011,0.09374064091045223,0.22189585050107657
Frenchman School District RE-3,18,171,949,2011,0.10526315789473684,0.18018967334035826
Florence School District RE-2,407,1892,17068,2011,0.21511627906976744,0.1108507147879072
Poudre School District R-1,3361,27149,188281,2011,0.12379829827986298,0.1441940503821416
Weld County School District RE-8,479,2624,12695,2011,0.18254573170731708,0.20669554942890903
Fort Morgan School District RE-3,752,3545,16966,2011,0.21212976022566996,0.2089473063774608
Fountain School District 8,1816,7622,32448,2011,0.23825767515087903,0.23489891518737674
Fowler School District R-4J,85,390,2073,2011,0.21794871794871795,0.18813314037626627
Sierra Grande School District R-30,79,273,1698,2011,0.2893772893772894,0.1607773851590106
Weld County School District RE-1,231,1917,9135,2011,0.12050078247261346,0.20985221674876847
Gilpin County School District RE-1,18,317,2776,2011,0.056782334384858045,0.11419308357348704
Roaring Fork School District RE-1,836,6414,37537,2011,0.13033988150919862,0.1708714068785465
Granada School District RE-1,55,223,943,2011,0.24663677130044842,0.23647932131495228
East Grand School District 2,266,1593,11739,2011,0.1669805398618958,0.13570150779453105
Mesa County Valley School District 51,3559,23912,143673,2011,0.1488374038139846,0.1664334982912586
Garfield County School District 16,246,1185,5922,2011,0.20759493670886076,0.2001013171225937
Greeley School District 6,5103,21640,117001,2011,0.23581330868761552,0.1849556841394518
Pawnee School District RE-12,14,80,534,2011,0.175,0.149812734082397
Gunnison Watershed School District RE-1J,304,1999,15348,2011,0.1520760380190095,0.13024498305968205
Hanover School District 28,64,346,1690,2011,0.18497109826589594,0.20473372781065088
Harrison School District 2,4090,12557,73924,2011,0.32571474078203394,0.16986364374222174
Haxtun School District RE-2J,43,272,1457,2011,0.15808823529411764,0.18668496911461907
Hayden School District RE-1,80,491,2796,2011,0.1629327902240326,0.1756080114449213
Hinsdale County School District RE-1,27,112,800,2011,0.24107142857142858,0.14
Hoehne Reorganized School District 3,39,276,2134,2011,0.14130434782608695,0.12933458294283037
Holly School District RE-3,83,261,1394,2011,0.31800766283524906,0.1872309899569584
Holyoke School District RE-1J,87,561,3129,2011,0.15508021390374332,0.17929050814956854
Genoa-Hugo School District C-113,37,204,1345,2011,0.18137254901960784,0.1516728624535316
Ignacio School District 11-JT,189,985,5533,2011,0.1918781725888325,0.17802277245617207
Jefferson County School District R-1,9658,88209,542833,2011,0.1094899613418132,0.1624974900199509
Johnstown-Milliken School District RE-5J,338,3683,16930,2011,0.09177301113222916,0.21754282339043118
Julesburg School District RE-1,38,212,1520,2011,0.1792452830188679,0.1394736842105263
Karval School District RE-23,14,50,325,2011,0.28,0.15384615384615385
Keenesburg School District RE-3J,271,2485,12934,2011,0.1090543259557344,0.19212927168702645
